TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance
TX000501,AC00433,120.9,7/12/2023 16:17,Debit,Tucson,D000195,200.136.146.93,M074,Branch,40,Doctor,52,1,9009.42
TX000502,AC00284,254.77,1/18/2023 16:47,Debit,Denver,D000216,16.128.130.153,M031,Branch,57,Engineer,57,1,5994.87
TX000503,AC00103,795.96,9/28/2023 17:53,Debit,Raleigh,D000283,54.252.249.33,M014,Online,65,Retired,119,1,5468.58
TX000504,AC00080,149.25,4/10/2023 16:38,Debit,Omaha,D000604,3.77.114.6,M067,ATM,39,Engineer,142,1,5677.52
TX000505,AC00052,3.42,9/25/2023 16:14,Credit,San Antonio,D000484,151.247.130.190,M092,Online,43,Doctor,158,1,14180.21
TX000506,AC00095,68.19,3/14/2023 16:07,Credit,Fresno,D000589,134.140.85.231,M026,Online,40,Doctor,189,1,9895.1
TX000507,AC00327,493.42,6/14/2023 17:21,Debit,Baltimore,D000474,28.149.72.129,M039,Branch,39,Engineer,111,1,2232.84
TX000508,AC00491,37.57,4/26/2023 18:35,Debit,El Paso,D000422,173.135.78.201,M048,ATM,57,Retired,42,1,7739.54
TX000509,AC00353,127.0,9/15/2023 17:09,Credit,Nashville,D000024,154.138.163.229,M015,Branch,19,Student,68,5,431.16
TX000510,AC00266,96.89,3/16/2023 16:02,Debit,Sacramento,D000295,136.105.231.135,M005,ATM,59,Retired,53,1,6044.93
TX000511,AC00167,448.33,5/1/2023 16:11,Debit,Atlanta,D000452,142.148.226.178,M031,ATM,25,Student,161,1,922.19
TX000512,AC00153,1116.48,9/18/2023 17:44,Debit,San Diego,D000633,164.75.163.220,M057,ATM,51,Engineer,55,1,447.53
TX000513,AC00012,8.65,6/5/2023 17:08,Debit,Las Vegas,D000309,200.136.146.93,M037,Online,48,Doctor,273,1,10778.35
TX000514,AC00469,65.57,4/6/2023 17:24,Debit,Miami,D000649,1.198.76.182,M039,Online,41,Engineer,82,1,7513.79
